,PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,Attentiveness,NoOfDevices
33,O733,,Other,2021-03-10,24,Wednesday,08:45:00,09:15:00,90.0,0,2.0,1
34,H179,UD415,Housework,2021-03-10,24,Wednesday,09:15:00,10:45:00,45.0,1,2.0,2
35,ED145,UD415,Eating/ Drinking,2021-03-10,24,Wednesday,10:45:00,11:30:00,30.0,2,2.0,2
36,CW982,,Coursework,2021-03-10,24,Wednesday,11:30:00,12:00:00,30.0,0,1.0,2
37,O733,,Other,2021-03-10,24,Wednesday,12:00:00,12:30:00,75.0,-2,-1.0,3
38,CW982,UD415,Coursework,2021-03-10,24,Wednesday,12:30:00,13:45:00,75.0,-1,-2.0,2
39,ED145,UD415,Eating/ Drinking,2021-03-10,24,Wednesday,13:45:00,15:00:00,45.0,-1,-1.0,2
40,L418,,Leisure,2021-03-10,24,Wednesday,15:00:00,15:45:00,105.0,1,2.0,2
41,EL642,,Education/ Lectures,2021-03-10,24,Wednesday,15:45:00,17:30:00,30.0,1,-2.0,2
42,H179,UD415,Housework,2021-03-10,24,Wednesday,17:30:00,18:00:00,45.0,1,2.0,1
43,ED145,,Eating/ Drinking,2021-03-10,24,Wednesday,18:00:00,18:45:00,150.0,2,2.0,2
44,L418,,Leisure,2021-03-10,24,Wednesday,18:45:00,21:15:00,30.0,1,1.0,3
45,ED145,,Eating/ Drinking,2021-03-10,24,Wednesday,21:15:00,21:45:00,45.0,1,0.0,1
46,O733,UD415,Other,2021-03-10,24,Wednesday,21:45:00,22:30:00,105.0,1,2.0,2
47,L418,UD415,Leisure,2021-03-11,24,Thursday,22:30:00,00:15:00,540.0,1,-1.0,2
48,S801,,Sleeping,2021-03-11,24,Thursday,00:15:00,09:15:00,30.0,-1,,0
49,ED145,UD415,Eating/ Drinking,2021-03-11,24,Thursday,09:15:00,09:45:00,30.0,-1,0.0,2
50,O733,,Other,2021-03-11,24,Thursday,09:45:00,10:15:00,75.0,0,0.0,1
51,CW982,,Coursework,2021-03-11,24,Thursday,10:15:00,11:30:00,15.0,-1,-2.0,2
52,ED145,,Eating/ Drinking,2021-03-11,24,Thursday,11:30:00,11:45:00,30.0,2,0.0,2
53,O733,UD415,Other,2021-03-11,24,Thursday,11:45:00,12:15:00,30.0,2,2.0,2
54,CW982,UD415,Coursework,2021-03-11,24,Thursday,12:15:00,12:45:00,60.0,2,2.0,2
55,ED145,H179,Eating/ Drinking,2021-03-11,24,Thursday,12:45:00,13:45:00,75.0,1,0.0,3
56,X893,UD415,Exercise,2021-03-11,24,Thursday,13:45:00,15:00:00,45.0,2,0.0,1
57,CW982,,Coursework,2021-03-11,24,Thursday,15:00:00,15:45:00,45.0,2,1.0,2
58,ED145,,Eating/ Drinking,2021-03-11,24,Thursday,15:45:00,16:30:00,105.0,2,0.0,2
59,CW982,UD415,Coursework,2021-03-11,24,Thursday,16:30:00,18:15:00,75.0,-1,-1.0,2
60,ED145,R523,Eating/ Drinking,2021-03-11,24,Thursday,18:15:00,19:30:00,60.0,0,0.0,2
61,L418,,Leisure,2021-03-11,24,Thursday,19:30:00,20:30:00,120.0,-1,2.0,2
62,L418,,Leisure,2021-03-11,24,Thursday,20:30:00,22:30:00,75.0,2,1.0,2
63,R523,UD415,Reading,2021-03-11,24,Thursday,22:30:00,23:45:00,495.0,2,-2.0,1
64,S801,,Sleeping,2021-03-12,24,Friday,23:45:00,08:00:00,,2,,0
